,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
156,"Swades: We, the People",2004,drama,success indian scientist return indian villag nanni america process rediscov root,8.2,ashutosh gowarik,shah rukh khan gayatri joshi kishori ballal smit sheth
157,Der Untergang,2004,biographi drama histori,traudl jung final secretari adolf hitler tell nazi dictat final day berlin bunker end wwii,8.2,oliv hirschbiegel,bruno ganz alexandra maria lara ulrich matth julian köhler
158,Hauru no ugoku shiro,2004,anim adventur famili,unconfid young woman curs old bodi spite witch chanc break spell lie selfindulg insecur young wizard companion leg walk castl,8.2,hayao miyazaki,chieko baishô takuya kimura tatsuya gashûin akihiro miwa
159,A Beautiful Mind,2001,biographi drama,john nash brilliant asoci mathematician accept secret work cryptographi life take turn nightmarish,8.2,ron howard,russel crow ed harri jennif connelli christoph plummer
160,Hera Pheri,2000,action comedi crime,unemploy men look answer money problem opportun arriv know,8.2,priyadarshan,akshay kumar sunil shetti paresh rawal tabu
161,"Lock, Stock and Two Smoking Barrels",1998,action comedi crime,botch card game london trigger friend thug weedgrow hard gangster loan shark debt collector collid seri unexpect event sake weed cash antiqu shotgun,8.2,guy ritchi,jason flemyng dexter fletcher nick moran jason statham
162,L.A. Confidential,1997,crime drama mysteri,corrupt grow s lo angel policemen straitlac brutal sleazi investig seri murder brand justic,8.2,curti hanson,kevin spacey russel crow guy pearc kim basing
163,Eskiya,1996,crime drama thriller,baran bandit releas prison year search vengeanc lover,8.2,yavuz turgul,sener sen ugur yücel sermin hürmeriç yesim salkim
164,Heat,1995,crime drama thriller,group profession bank robber start feel heat polic unknowingli leav clue latest heist,8.2,michael mann,al pacino robert niro val kilmer jon voight
165,Casino,1995,crime drama,tale greed decept money power murder occur best friend mafia enforc casino execut compet gambl empir fastliv fastlov socialit,8.2,martin scorses,robert niro sharon stone joe pesci jame wood
166,Andaz Apna Apna,1994,action comedi romanc,slacker compet affect heiress inadvert protector evil crimin,8.2,rajkumar santoshi,aamir khan salman khan raveena tandon karisma kapoor
167,Unforgiven,1992,drama western,retir old west gunsling william munni reluctantli take job help old partner ned logan young man schofield kid,8.2,clint eastwood,clint eastwood gene hackman morgan freeman richard harri
168,Indiana Jones and the Last Crusade,1989,action adventur,father professor henri jone sr goe miss pursu holi grail professor henri indiana jone jr find adolf hitler nazi stop obtain power,8.2,steven spielberg,harrison ford sean conneri alison doodi denholm elliott
169,Dom za vesanje,1988,comedi crime drama,lumin tale set area sarajevo itali perhan engag young romani gypsi telekinet power seduc quickcash world petti crime threaten destroy love,8.2,emir kusturica,davor dujmov bora todorov ljubica adzov husnija hasimov
170,Tonari no Totoro,1988,anim famili fantasi,girl countri near ail mother adventur wondrou forest spirit live nearbi,8.2,hayao miyazaki,hitoshi takagi noriko hidaka chika sakamoto shigesato itoi
171,Die Hard,1988,action thriller,nypd offic tri save wife taken hostag german terrorist christma parti nakatomi plaza lo angel,8.2,john mctiernan,bruce willi alan rickman bonni bedelia reginald veljohnson
172,Ran,1985,action drama war,mediev japan elderli warlord retir hand empir son vastli underestim newfound power corrupt caus turn otherand,8.2,akira kurosawa,tatsuya nakadai akira terao jinpachi nezu daisuk ryû
173,Raging Bull,1980,biographi drama sport,life boxer jake lamotta violenc temper led ring destroy life outsid,8.2,martin scorses,robert niro cathi moriarti joe pesci frank vincent
174,Stalker,1979,drama scifi,guid lead men area known zone room grant wish,8.2,andrei tarkovski,alisa freyndlikh aleksandr kaydanovskiy anatoliy solonitsyn nikolay grinko
175,Höstsonaten,1978,drama music,marri daughter long mother love visit success concert pianist,8.2,ingmar bergman,ingrid bergman liv ullmann lena nyman halvar björk
176,The Message,1976,biographi drama histori,epic histor drama chronicl life time prophet muhammad serv introduct earli islam histori,8.2,moustapha akkad,anthoni quinn iren papa michael ansara johnni sekka
177,Sholay,1975,action adventur comedi,famili murder notori ruthless bandit polic offic enlist servic outlaw captur bandit,8.2,ramesh sippi,sanjeev kumar dharmendra amitabh bachchan amjad khan
178,Monty Python and the Holy Grail,1975,adventur comedi fantasi,king arthur knight round tabl embark surreal lowbudget search holi grail encount silli obstacl,8.2,terri gilliam,terri jone graham chapman john clees eric idl
179,The Great Escape,1963,adventur drama histori,alli prison war plan number escap german camp world war ii,8.2,john sturg,steve mcqueen jame garner richard attenborough charl bronson
180,To Kill a Mockingbird,1962,crime drama,atticu finch lawyer depressionera south defend black man undeserv rape charg children prejudic,8.2,robert mulligan,gregori peck john megna frank overton rosemari murphi
181,Yôjinbô,1961,action drama thriller,crafti ronin come town divid crimin gang decid play free town,8.2,akira kurosawa,toshirô mifun eijirô tôno tatsuya nakadai yôko tsukasa
182,Judgment at Nuremberg,1961,drama war,american court occupi germani tri nazi judg war crime,8.2,stanley kramer,spencer traci burt lancast richard widmark marlen dietrich
183,Some Like It Hot,1959,comedi music romanc,male musician wit mob hit flee state allfemal band disguis women complic set,8.2,billi wilder,marilyn monro toni curti jack lemmon georg raft
184,Smultronstället,1957,drama romanc,live life mark cold age professor forc confront empti exist,8.2,ingmar bergman,victor sjöström bibi andersson ingrid thulin gunnar björnstrand
185,Det sjunde inseglet,1957,drama fantasi histori,man seek answer life death exist god play chess grim reaper black plagu,8.2,ingmar bergman,max von sydow gunnar björnstrand bengt ekerot nil popp
186,Du rififi chez les hommes,1955,crime drama thriller,men plan technic perfect crime human element interven,8.2,jule dassin,jean servai carl möhner robert manuel janin darcey
187,Dial M for Murder,1954,crime thriller,tenni player tri arrang wife murder learn affair,8.2,alfr hitchcock,ray milland grace kelli robert cum john william
188,Tôkyô monogatari,1953,drama,old coupl visit children grandchildren citi receiv littl attent,8.2,yasujirô ozu,chishû ryû chieko higashiyama sô yamamura setsuko hara
189,Rashômon,1950,crime drama mysteri,rape bride murder samurai husband recal perspect bandit bride samurai ghost woodcutt,8.2,akira kurosawa,toshirô mifun machiko kyô masayuki mori takashi shimura
190,All About Eve,1950,drama,seemingli timid secretli ruthless ingénu insinu live age broadway star circl theater friend,8.2,joseph l mankiewicz,bett davi ann baxter georg sander celest holm
191,The Treasure of the Sierra Madre,1948,adventur drama western,american search work mexico convinc old prospector help gold sierra madr mountain,8.2,john huston,humphrey bogart walter huston tim holt bruce bennett
192,To Be or Not to Be,1942,comedi war,nazi occup poland act troup embroil polish soldier effort track german spi,8.2,ernst lubitsch,carol lombard jack benni robert stack felix bressart
193,The Gold Rush,1925,adventur comedi drama,prospector goe klondik search gold find,8.2,charl chaplin,charl chaplin mack swain tom murray henri bergman
194,Sherlock Jr.,1924,action comedi romanc,film projectionist long detect put meagr skill work frame rival steal girlfriend father pocketwatch,8.2,buster keaton,buster keaton kathryn mcguir joe keaton erwin connelli
195,Portrait de la jeune fille en feu,2019,drama romanc,isol island brittani end eighteenth centuri femal painter oblig paint wed portrait young woman,8.1,céline sciamma,noémi merlant adèl haenel luàna bajrami valeria golino
196,Pink,2016,drama thriller,young women implic crime retir lawyer step forward help clear name,8.1,aniruddha roy chowdhuri,taapse pannu amitabh bachchan kirti kulhari andrea tariang
197,Koe no katachi,2016,anim drama famili,young man ostrac classmat bulli deaf girl point move away year later set path redempt,8.1,naoko yamada,miyu irino saori hayami aoi yûki kenshô ono
198,Contratiempo,2016,crime drama mysteri,success entrepreneur accus murder wit prepar expert hour come impregn defens,8.1,oriol paulo,mario casa ana wagen jose coronado bárbara lenni
199,Ah-ga-ssi,2016,drama romanc thriller,woman hire handmaiden japanes heiress secretli involv plot defraud,8.1,chanwook park,kim minhe jungwoo ha cho jinwoong moon sori
200,Mommy,2014,drama,widow singl mother rais violent son find new hope mysteri neighbor insert household,8.1,xavier dolan,ann dorval antoin olivi pilon suzann clément patrick huard
201,Haider,2014,action crime drama,young man return kashmir father disappear confront uncl suspect play role father fate,8.1,vishal bhardwaj,shahid kapoor tabu shraddha kapoor kay kay menon
202,Logan,2017,action drama scifi,futur mutant nearli extinct elderli weari logan lead quiet life laura mutant child pursu scientist come help safeti,8.1,jame mangold,hugh jackman patrick stewart dafn keen boyd holbrook
203,Room,2015,drama thriller,held captiv year enclos space woman young son final gain freedom allow boy experi outsid world time,8.1,lenni abrahamson,brie larson jacob tremblay sean bridger wendi crewson
204,Relatos salvajes,2014,comedi drama thriller,short stori explor extrem human behavior involv peopl distress,8.1,damián szifron,darío grandinetti maría marul mónica villa diego starosta
205,Soul,2020,anim adventur comedi,land gig lifetim new york jazz pianist suddenli find trap strang land earth afterlif,8.1,pete docter,kemp power jami foxx tina fey graham norton
206,Kis Uykusu,2014,drama,hotel owner landlord remot turkish villag deal conflict famili tenant rent,8.1,nuri bilg ceylan,haluk bilgin melisa sözen demet akbag ayberk pekcan
207,PK,2014,comedi drama music,alien earth lose devic use commun spaceship innoc natur childlik question forc countri evalu impact religion peopl,8.1,rajkumar hirani,aamir khan anushka sharma sanjay dutt boman irani
208,OMG: Oh My God!,2012,comedi drama fantasi,shopkeep take god court shop destroy earthquak,8.1,umesh shukla,paresh rawal akshay kumar mithun chakraborti mahesh manjrekar
209,The Grand Budapest Hotel,2014,adventur comedi crime,writer encount owner age highclass hotel tell earli year serv lobbi boy hotel gloriou year except concierg,8.1,we anderson,ralph fienn f murray abraham mathieu amalr adrien brodi
210,Gone Girl,2014,drama mysteri thriller,wife disappear have focu intens media circu man see spotlight turn suspect innoc,8.1,david fincher,ben affleck rosamund pike neil patrick harri tyler perri
211,Ôkami kodomo no Ame to Yuki,2012,anim drama fantasi,werewolf lover unexpectedli die accid hunt food children young woman way rais werewolf son daughter keep trait hidden societi,8.1,mamoru hosoda,aoi miyazaki takao osawa haru kuroki yukito nishii
212,Hacksaw Ridge,2016,biographi drama histori,world war ii american armi medic desmond t doss serv battl okinawa refus kill peopl man american histori receiv medal honor fire shot,8.1,mel gibson,andrew garfield sam worthington luke bracey teresa palmer
213,Inside Out,2015,anim adventur comedi,young riley uproot midwest life move san francisco emot joy fear anger disgust sad conflict best navig new citi hous school,8.1,pete docter,ronni del carmen ami poehler hader lewi black
214,Barfi!,2012,comedi drama romanc,young peopl learn love defin contain societi definit normal abnorm,8.1,anurag basu,ranbir kapoor priyanka chopra ileana dcruz saurabh shukla
215,12 Years a Slave,2013,biographi drama histori,antebellum unit state solomon northup free black man upstat new york abduct sold slaveri,8.1,steve mcqueen,chiwetel ejiofor michael kenneth william michael fassbend brad pitt
216,Rush,2013,action biographi drama,merciless s rivalri formula rival jame hunt niki lauda,8.1,ron howard,daniel brühl chri hemsworth olivia wild alexandra maria lara
217,Ford v Ferrari,2019,action biographi drama,american car design carrol shelbi driver ken mile battl corpor interfer law physic build revolutionari race car ford order defeat ferrari hour le man,8.1,jame mangold,matt damon christian bale jon bernthal caitriona balf
218,Spotlight,2015,biographi crime drama,true stori boston globe uncov massiv scandal child molest coverup local cathol archdioces shake entir cathol church core,8.1,tom mccarthi,mark ruffalo michael keaton rachel mcadam liev schreiber
